codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_AT.0001.0001.0001,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOCARRO DI MEDIA PORTATA. compreso il ritorno a vuoto
SAR24_AT.0001.0001.0002,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CONTINENTE/SARDEGNA con autoarticolato da 28-30 t
SAR24_AT.0001.0001.0003,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO da 28-30 t. in abito regionale. con percorrenza dallo stabilimento di produzione o deposito al cantiere entro i 50 km con impegno di mezza giornata
SAR24_AT.0001.0001.0004,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO 28-30 t. in ambito regionale. con percorrenza dallo stabilimento di produzione o dal deposito entro 100 km
SAR24_AT.0001.0001.0005,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO DI MATERIALE SFUSO inerte. caricato sotto tramoggia e scarico con ribaltabile. con autocarro cassonato da 20 a 22 m³ con percorrenza cava-cantiere entro 30 km
SAR24_AT.0001.0001.0006,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO da 28-30 t. in ambito regionale. con percorrenza dallo stabilimento di produzione o deposito al cantiere entro i 50 km con impegno dell’intera giornata
SAR24_AT.0001.0001.0007,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO 28-30 t. in ambito regionale. con percorrenza dallo stabilimento di produzione o dal deposito da 101 a 150 km
SAR24_AT.0001.0001.0008,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO 28-30 t. in ambito regionale. con percorrenza dallo stabilimento di produzione o dal deposito da 151 a 200 km
SAR24_AT.0001.0001.0009,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CON AUTOARTICOLATO 28-30 t. allungato fino a 1650 m. in ambito regionale. con percorrenza dallo stabilimento di produzione o dal deposito. esclusa eventuale scorta da 101 a 150 km
SAR24_AT.0001.0001.0010,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO BLOCCHETTI DI CEMENTO con autocarro dela portata di 15 t dotato di gru idraulica con pinza impiegata nel carico e scarico blocchetti. entro una percorrenza massima di 50 Km dallo stabilimento
SAR24_AT.0001.0002.0001,AT,TRASPORTI,A nolo con autocarro o autoarticolato,TRASPORTO A NOLO con autocarro a cassone fisso o ribaltabile portata 15 t
