codice_articolo,famiglia,capitolo,sottocapitolo,descrizione,unita_misura,prezzo_senza_sg_ut,spese_generali,oneri_sicurezza_impresa,utile_impresa,prezzo_finale,quota_manodopera,incidenza_manodopera
SAR24_AT.0001.0001.0001,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOCARRO DI MEDIA PORTATA, compreso il ritorno a vuoto",t/km,1.74054,0.26108,0.00392,0.20016,2.2,,
SAR24_AT.0001.0001.0002,AT,TRASPORTI,Con autocarro o autoarticolato,TRASPORTO CONTINENTE/SARDEGNA con autoarticolato da 28-30 t,viaggi,2010.32093,301.54814,4.52322,231.18691,2543.06,,
SAR24_AT.0001.0001.0003,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO da 28-30 t, in abito regionale, con percorrenza dallo stabilimento di produzione o deposito al cantiere entro i 50 km con impegno di mezza giornata",viaggi,321.92331,48.2885,0.72433,37.02118,407.23,,
SAR24_AT.0001.0001.0004,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO 28-30 t, in ambito regionale, con percorrenza dallo stabilimento di produzione o dal deposito entro 100 km",viaggi,553.30602,82.9959,1.24494,63.63019,699.93,,
SAR24_AT.0001.0001.0005,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO DI MATERIALE SFUSO inerte, caricato sotto tramoggia e scarico con ribaltabile, con autocarro cassonato da 20 a 22 m³ con percorrenza cava-cantiere entro 30 km",viaggi,150.90461,22.63569,0.33954,17.35403,190.89,,
SAR24_AT.0001.0001.0006,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO da 28-30 t, in ambito regionale, con percorrenza dallo stabilimento di produzione o deposito al cantiere entro i 50 km con impegno dell’intera giornata",viaggi,494.02984,74.10448,1.11157,56.81343,624.95,,
SAR24_AT.0001.0001.0007,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO 28-30 t, in ambito regionale, con percorrenza dallo stabilimento di produzione o dal deposito da 101 a 150 km",viaggi,583.86334,87.5795,1.31369,67.14428,738.59,,
SAR24_AT.0001.0001.0008,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO 28-30 t, in ambito regionale, con percorrenza dallo stabilimento di produzione o dal deposito da 151 a 200 km",viaggi,673.67508,101.05126,1.51577,77.47263,852.2,,
SAR24_AT.0001.0001.0009,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO CON AUTOARTICOLATO 28-30 t, allungato fino a 16.50 m, in ambito regionale, con percorrenza dallo stabilimento di produzione o dal deposito, esclusa eventuale scorta da 101 a 150 km",viaggi,718.59183,107.78877,1.61683,82.63806,909.02,,
SAR24_AT.0001.0001.0010,AT,TRASPORTI,Con autocarro o autoarticolato,"TRASPORTO BLOCCHETTI DI CEMENTO con autocarro dela portata di 15 t dotato di gru idraulica con pinza impiegata nel carico e scarico blocchetti, entro una percorrenza massima di 50 Km dallo stabilimento",viaggi,179.54733,26.9321,0.40398,20.64794,227.13,,
SAR24_AT.0001.0002.0001,AT,TRASPORTI,A nolo con autocarro o autoarticolato,TRASPORTO A NOLO con autocarro a cassone fisso o ribaltabile portata 1.5 t,ora,41.64236,6.24635,0.0937,4.78887,52.68,,
SAR24_AT.0001.0002.0002,AT,TRASPORTI,A nolo con autocarro o autoarticolato,TRASPORTO A NOLO con autocarro a cassone fisso o ribaltabile portata 30 t,ora,78.38946,11.75842,0.17638,9.01479,99.16,,
SAR24_AT.0001.0003.0001,AT,TRASPORTI,Con autobotte o autocisterna termica,TRASPORTO DI CEMENTO SFUSO con autobotte da 30 t per percorrenza cementeria/cantiere da 51 a 100 km,t,16.17612,2.42642,0.0364,1.86025,20.46,,
SAR24_AT.0001.0004.0001,AT,TRASPORTI,Esplosivi,"TRASPORTO DI ESPLOSIVI in quantità pari al consumo giornaliero del cantiere, compreso il compenso per l’accompagnamento con Guardia Giurata previsto dalla legge oltre i 100 km dal deposito regionale",viaggi,233.53663,35.03049,0.52546,26.85671,295.42,,
SAR24_AT.0002.0001.0001,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra VIBRATORE ad ago a immersione per calcestruzzi",ora,0.27196,0.04079,0.00061,0.03127,0.34,,
SAR24_AT.0002.0001.0002,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra SEGA CIRCOLARE elettrica a banco",ora,0.32635,0.04895,0.00073,0.03753,0.41,,
SAR24_AT.0002.0001.0003,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra SALDATRICE elettrica, esclusi gli elettrodi",ora,0.27196,0.04079,0.00061,0.03127,0.34,,
SAR24_AT.0002.0001.0004,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MARTELLO DEMOLITORE IDRAULICO da montare su macchina operatrice, esclusi consumi ed operatore peso kg 300",ora,10.53025,1.57954,0.02369,1.21098,13.32,,
SAR24_AT.0002.0001.0005,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MARTELLO DEMOLITORE IDRAULICO da montare su macchina operatrice, esclusi consumi ed operatore peso kg 500",ora,13.9243,2.08864,0.03133,1.60129,17.61,,
SAR24_AT.0002.0001.0006,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MARTELLO DEMOLITORE IDRAULICO da montare su macchina operatrice, esclusi consumi ed operatore peso kg 900",ora,16.53511,2.48027,0.0372,1.90154,20.92,,
SAR24_AT.0002.0001.0007,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MARTELLO DEMOLITORE IDRAULICO montato su macchina già esistente in cantiere, questa compresa, esclusi l’operatore e i consumi di carburante, lubrificanti, ricambi, manutenzione ma compresa l’assicurazione peso Kg 500 montato su ESCAVATORE da 12000kg 84HP",ora,38.83575,5.82536,0.08738,4.46611,49.13,,
SAR24_AT.0002.0001.0008,AT,NOLO MACCHINARI E ATTREZZATURE BASE,Macchinario vario,"MACCHINARIO VARIO già esistente in cantiere, esclusi consumi, accessori e manutenzione ed escluso il personale di manovra VERRICELLO",ora,7.93032,1.18955,0.01784,0.91199,10.03,,
